NOM|ARRONDISSEMENT|NO_CIVIQUE|RUE|ANC_VILLE|VOCATION
Chalet Parc Henri-Casault|4|5395|4e Ouest, Avenue |Charlesbourg|Pavillon de services et de loisirs
Chalet Parc Lyonnais|4|1158|Lyonnais, Rue du |Charlesbourg|Pavillon de services et de loisirs
Chalet du Plateau|4|8815|Jean-Paquin, Avenue |Charlesbourg|Pavillon de services et de loisirs
Chalet La Planque|4|8805|Jean-Paquin, Avenue |Charlesbourg|Pavillon de services et de loisirs
Chalet piscine Parc Maurice-Dorion|4|8805|Jean-Paquin, Avenue |Charlesbourg|Pavillon de services et de loisirs
Centre récréatif St-Rodrigue|4|4840|Loisirs, Avenue des |Charlesbourg|Centre communautaire
Chalet Edouard-Laurent|4|4725|Loisirs, Avenue des |Charlesbourg|Pavillon de services et de loisirs
Chalet piscine Parc Maurice-Lortie|4|4720|Loisirs, Avenue des |Charlesbourg|Pavillon de services et de loisirs
Chalet Parc Notre-Dame-des-Laurentides|4|55|Moïse-Verret, Rue |Charlesbourg|Pavillon de services et de loisirs
Chalet piscines Parc Saint-Jérôme|4|585|64e Est, Rue |Charlesbourg|Pavillon de services et de loisirs
Chalet Parc Maria-Goretti|4|7475|Paul-Comtois, Avenue |Charlesbourg|Centre communautaire
Pavillon piscine Parc Maria-Goretti|4|7475|Paul-Comtois, Avenue |Charlesbourg|Pavillon de services et de loisirs
Chalet Parc Saint-Jérôme|4|585|64e Est, Rue |Charlesbourg|Pavillon de services et de loisirs
Chalet Parc St-Pierre|4|5485|Platanes, Avenue des |Charlesbourg|Pavillon de services et de loisirs
Pavillon du Jardin|4|5295|Violettes, Rue des |Charlesbourg|Pavillon de services et de loisirs
Cercle des Fermières de Lac-Saint-Charles|6|550|Delage, Rue |Lac-Saint-Charles|Pavillon de services et de loisirs
Toilettes Parc du Château-D'eau|6|3165|Golf, Rue du |Loretteville|Pavillon de services et de loisirs
Chalet Parc de l'Orme|6|45|Falaise-Verte, Rue de la |Loretteville|Pavillon de services et de loisirs
Chalet des patineurs Parc compl. mun. Loretteville|6|8|Monseigneur-Dumas, Rue |Loretteville|Centre communautaire
Chalet Parc Saint-Benoît|3|3454|Rochambeau, Rue |Sainte-Foy|Pavillon de services et de loisirs
Chalet Parc Saint-Denys|3|2770|Picardie, Rue de la |Sainte-Foy|Pavillon de services et de loisirs
Pavillon Parc de Bélair|3|3110|Notre-Dame, Avenue |Sainte-Foy|Pavillon de services et de loisirs
Chalet Parc Claude-Germain|3|200|Huot, Rue |Sainte-Foy|Pavillon de services et de loisirs
Chalet Parc Kiwanis|3|1818|Jules-Verne, Avenue |Sainte-Foy|Pavillon de services et de loisirs
Chalet Parc Le May|3|1455|Le May, Rue |Sainte-Foy|Pavillon de services et de loisirs
Chalet Parc Les Sources|3|1140|Capitaine-Bernier, Rue du |Sainte-Foy|Pavillon de services et de loisirs
Chalet piscine Parc Malraux|3|108|Malraux, Rue |Sainte-Foy|Pavillon de services et de loisirs
Chalet piscine Parc Saint-Yves|3|2544|Gregg, Rue |Sainte-Foy|Pavillon de services et de loisirs
Pavillon Parc Fénelon|3|1260|Fénelon, Rue |Sainte-Foy|Pavillon de services et de loisirs
Pavillon Parc de la Plage-Jacques-Cartier|3|3636|Pavillon, Chemin du |Sainte-Foy|Pavillon de services et de loisirs
Chalet Parc de la Falaise|3|1615|Gignac, Côte à |Sillery|Pavillon de services et de loisirs
Chalet Parc Saint-Charles-Garnier|3|1730|Sheppard, Rue |Sillery|Pavillon de services et de loisirs
Pavillon Parc du Buisson|3|2140|Marie-Victorin, Rue |Sillery|Pavillon de services et de loisirs
Chalet des moniteurs Base plein air La Découverte|6|1560|Montagne Ouest, Avenue de la |Val-Bélair|Pavillon de services et de loisirs
Chalet d'accueil Base plein air La Découverte|6|1560|Montagne Ouest, Avenue de la |Val-Bélair|Pavillon de services et de loisirs
Chalet Jules-Émond|6|1045|Collégiens, Rue des |Val-Bélair|Pavillon de services et de loisirs
Chalet Sainte-Anne|6|1374|Grimaldi, Rue |Val-Bélair|Pavillon de services et de loisirs
Chalet principal Base plein air La Découverte|6|1560|Montagne Ouest, Avenue de la |Val-Bélair|Pavillon de services et de loisirs
Chalet Parc La Chanterelle|6|1530|Innovation, Rue de l' |Val-Bélair|Pavillon de services et de loisirs
Chalet Parc de la Terrasse Bon-Air|4|1085|60e Est, Rue |Charlesbourg|Pavillon de services et de loisirs
Chalet piscine Camping municipal Beauport|5|95|Sérénité, Rue de la |Beauport|Pavillon de services et de loisirs
Pavillon piscine Giffard|5|3490|Cambronne, Rue |Beauport|Pavillon de services et de loisirs
Chalet pataugeoire Parc St-Jean-B.-de-la-Salle|3|2570|Biencourt, Rue |Sainte-Foy|Pavillon de services et de loisirs
Pavillon Parc Sainte-Geneviève|3|3200|D'Amours, Avenue |Sainte-Foy|Pavillon de services et de loisirs
Pavillon piscine Parc Saint-Louis-de-France|3|1591|Sieur-D'Argenteuil, Rue du |Sainte-Foy|Pavillon de services et de loisirs
Chalet piscine Parc Saint-Thomas-d'Aquin|3|2122|Boivin, Rue |Sainte-Foy|Pavillon de services et de loisirs
Chalet piscine Gérard Guay|3|1730|Sheppard, Rue |Sillery|Pavillon de services et de loisirs
Club social Victoria/Pavillon de tennis|1|170|Cardinal-Maurice-Roy, Rue du |Québec|Centre communautaire
Club social Victoria/Pavillon de tennis|1|170|Cardinal-Maurice-Roy, Rue du |Québec|Pavillon de services et de loisirs
Centre C.-A.-Savard/Bibliothèque St-André|2|2155|Bastien, Boulevard |Québec|Centre communautaire
Centre communautaire Édouard-Lavergne|1|380|Arago Ouest, Rue |Québec|Centre communautaire
Centre Elzéar-Turcotte|2|2455|Central, Boulevard |Québec|Centre communautaire
