Chalet piscine Parc Saint-Thomas-d'Aquin|3|2122|Boivin, Rue |Sainte-Foy|Pavillon de services et de loisirs|46.7902915|-71.2711524
Chalet piscine Gérard Guay|3|1730|Sheppard, Rue |Sillery|Pavillon de services et de loisirs|46.7841285|-71.2492199
Club social Victoria/Pavillon de tennis|1|170|Cardinal-Maurice-Roy, Rue du |Québec|Centre communautaire|46.8176463|-71.2318305
Club social Victoria/Pavillon de tennis|1|170|Cardinal-Maurice-Roy, Rue du |Québec|Pavillon de services et de loisirs|46.8176463|-71.2318305
Centre C.-A.-Savard/Bibliothèque St-André|2|2155|Bastien, Boulevard |Québec|Centre communautaire|0|0
Centre communautaire Édouard-Lavergne|1|380|Arago Ouest, Rue |Québec|Centre communautaire|46.8072755|-71.2327452
Centre Elzéar-Turcotte|2|2455|Central, Boulevard |Québec|Centre communautaire|46.8106875|-71.2932961
Centre Ferland|1|1600|8e, Avenue |Québec|Centre communautaire|46.8318781|-71.2297119
Centre J.-B.-Lafrance|2|4075|Maria-Goretti, Rue |Québec|Centre communautaire|46.8024448|-71.311279
Centre communautaire Lebourgneuf|2|1650|La Morille, Boulevard |Québec|Centre communautaire|46.8424107|-71.3071784
Centre communautaire Lucien-Borne|1|100|Sainte-Foy, Chemin |Québec|Centre communautaire|46.8065787|-71.228501
Centre Marchand|1|2740|2e, Avenue |Québec|Centre communautaire|46.8282693|-71.2336972
Centre Monseigneur-Bouffard|1|295|Marie-de-l'Incarnation, Rue |Québec|Centre communautaire|46.8076163|-71.2445004
Centre communautaire Michel-Labadie|2|3705|Chauveau, Avenue |Québec|Centre communautaire|46.8325792|-71.3466394
Centre Saint-Roch|1|230|Pont, Rue du |Québec|Centre communautaire|46.8179015|-71.2235016
Chalet Lacroix|1|2000|Montmorency, Boulevard |Québec|Pavillon de services et de loisirs|46.8364258|-71.2159114
Pavillon Edmond-Gagnon|1|1395|D'Estimauville, Avenue |Québec|Pavillon de services et de loisirs|46.8420938|-71.2107769
